Draft Pos Age YPro Team InPro 2JPro 3PPro InEff 2JEff 3PEff  OReb  DReb  BDom PassR PassE InDef PerDef  InFR PerFR FTEff GInj Updated
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   20.0  67.6   2.5  63.3   25 Y11-D73-RSG56
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   24 Y11-D74-RSG57
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   24 Y11-D75-RSG58
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   23 Y11-D76-RSG59
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   22 Y11-D77-RSG60
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   22 Y11-D78-RSG61
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   21 Y11-D79-RSG62
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   21 Y11-D80-RSG63
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   20 Y11-D81-RSG64
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   19 Y11-D82-RSG65
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   18 Y11-D83-RSG66
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   17 Y11-D84-RSG67
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   16 Y11-D85-RSG68
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  98.9  23.9  28.0  39.7  92.0   18.2  67.6   2.5  63.3   15 Y11-D86-RSG69
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  96.7  23.9  28.0  39.7  92.0   18.2  64.6   2.5  63.3   13 Y11-D87-RSG70
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  96.7  23.9  28.0  39.7  92.0   18.2  64.6   2.5  63.3   12 Y11-D88-RSG71
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  96.7  23.9  28.0  39.7  92.0   18.2  64.6   2.5  63.3   10 Y11-D89-RSG72
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  96.7  23.9  28.7  39.7  92.0   18.2  64.6   2.5  63.3    9 Y11-D90-RSG73
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  60.0  53.5  44.0  96.7  23.9  28.7  39.7  92.0   18.2  64.6   2.5  63.3    8 Y11-D91-RSG74
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  57.6  53.5  44.0  96.7  23.9  28.7  39.7  92.0   18.2  64.6   2.5  63.3    7 Y11-D92-RSG75
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  57.6  53.5  44.0  96.7  23.9  28.7  39.7  92.0   18.2  64.6   2.5  63.3    7 Y11-D93-RSG76
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  57.6  53.5  44.0  96.7  23.9  28.7  39.7  92.0   18.2  64.6   2.5  63.3    6 Y11-D94-RSG77
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  57.6  53.5  44.0  96.7  23.9  28.7  39.7  92.0   18.2  64.6   2.5  63.3    4 Y11-D95-RSG78
 10.1  C1  21    1  CRO  62.6  34.3   3.1 113.0  57.6  53.5  44.0  96.7  23.9  28.7  39.7  92.0   18.2  64.6   2.5  63.3    3 Y11-D96-RSG79
